03 нояб. 2022 12:45:38,156 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,156 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,269 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,274 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,274 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,274 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,274 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,283 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,283 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,290 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,290 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,298 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,298 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,298 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,305 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,305 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,305 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,348 admin - 127.0.0.1 - 127.0.0.1  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,356 admin - 127.0.0.1 - 127.0.0.1  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,486 admin - 127.0.0.1 - 127.0.0.1  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
