03 нояб. 2022 12:44:57,657  INFO StartLogger - Initializing main logic for module : #21 of 46 Historizable (actual: 23)
03 нояб. 2022 12:44:57,657  INFO StartLogger - Initializing main logic for module : #22 of 46 ProcessMonitor (actual: 21)
03 нояб. 2022 12:44:57,657  INFO StartLogger - Initializing main logic for module : #23 of 46 Reflection (actual: 5)
03 нояб. 2022 12:44:57,663  INFO StartLogger - Initializing main logic for module : #24 of 46 Document (actual: 20)
03 нояб. 2022 12:44:57,940  INFO StartLogger - Initializing main logic for module : #25 of 46 SystemEvents (actual: 6)
03 нояб. 2022 12:44:57,940  INFO StartLogger - Initializing main logic for module : #26 of 46 Messenger (actual: 33)
03 нояб. 2022 12:44:57,940  INFO StartLogger - WARNING! Now default change event action will work in new session /utils/messengers/Messenger.lsf(67:30) property:Messenger.synchronizeChatsAction[Messenger.Account] 'Synchronize account' [Messenger(59:70)]
03 нояб. 2022 12:44:57,963  INFO StartLogger - Initializing main logic for module : #27 of 46 Skype (actual: 39)
03 нояб. 2022 12:44:57,977  INFO StartLogger - Initializing main logic for module : #28 of 46 Viber (actual: 38)
03 нояб. 2022 12:44:57,977  INFO StartLogger - Initializing main logic for module : #29 of 46 Slack (actual: 41)
03 нояб. 2022 12:44:58,067  INFO StartLogger - Initializing main logic for module : #30 of 46 Telegram (actual: 34)
03 нояб. 2022 12:44:58,150  INFO StartLogger - Initializing main logic for module : #31 of 46 JKanban (actual: 40)
03 нояб. 2022 12:44:58,151  INFO StartLogger - Initializing main logic for module : #32 of 46 Geo (actual: 37)
03 нояб. 2022 12:44:58,155  INFO StartLogger - Initializing main logic for module : #33 of 46 Word (actual: 8)
03 нояб. 2022 12:44:58,163  INFO StartLogger - Initializing main logic for module : #34 of 46 Email (actual: 9)
03 нояб. 2022 12:44:58,224  INFO StartLogger - Initializing main logic for module : #35 of 46 Multiselect (actual: 44)
03 нояб. 2022 12:44:58,284  INFO StartLogger - Initializing main logic for module : #36 of 46 FrappeGantt (actual: 46)
03 нояб. 2022 12:44:58,295  INFO StartLogger - Initializing main logic for module : #37 of 46 Chart (actual: 30)
03 нояб. 2022 12:44:58,379  INFO StartLogger - Initializing main logic for module : #38 of 46 Security (actual: 10)
03 нояб. 2022 12:44:58,519  INFO StartLogger - Initializing main logic for module : #39 of 46 Service (actual: 11)
03 нояб. 2022 12:44:58,653  INFO StartLogger - Initializing main logic for module : #40 of 46 Scheduler (actual: 12)
03 нояб. 2022 12:44:58,662  INFO StartLogger - Initializing main logic for module : #41 of 46 SQLUtils (actual: 22)
03 нояб. 2022 12:44:58,665  INFO StartLogger - Initializing main logic for module : #42 of 46 Chat (actual: 28)
03 нояб. 2022 12:44:58,665  INFO StartLogger - Initializing main logic for module : #43 of 46 Profiler (actual: 26)
03 нояб. 2022 12:44:58,711  INFO StartLogger - Initializing main logic for module : #44 of 46 Eval (actual: 29)
03 нояб. 2022 12:44:58,838  INFO StartLogger - Initializing main logic for module : #45 of 46 SchedulerDefaultData (actual: 14)
03 нояб. 2022 12:44:58,843  INFO StartLogger - Initializing main logic for module : #46 of 46 Backup (actual: 15)
03 нояб. 2022 12:44:58,884  INFO StartLogger - Finalizing groups
03 нояб. 2022 12:44:58,884  INFO StartLogger - Finalizing classes
03 нояб. 2022 12:44:58,891  INFO StartLogger - Checking for duplicate elements
03 нояб. 2022 12:44:58,911  INFO StartLogger - Filling implicit cases
03 нояб. 2022 12:44:58,911  INFO StartLogger - Initializing lazy properties
03 нояб. 2022 12:44:58,911  INFO StartLogger - Finalizing abstract actions
03 нояб. 2022 12:44:58,911  INFO StartLogger - Initializing abstract properties
03 нояб. 2022 12:44:58,993  INFO StartLogger - Checking abstract
03 нояб. 2022 12:44:58,999  INFO StartLogger - Initializing fields for data and materialized properties
03 нояб. 2022 12:44:58,999  INFO StartLogger - Initializing class aggr props
03 нояб. 2022 12:44:59,088  INFO StartLogger - Looking for recursions in abstract actions / properties
03 нояб. 2022 12:44:59,117  INFO StartLogger - Finalizing tables
03 нояб. 2022 12:44:59,121  INFO StartLogger - Setup reset files
03 нояб. 2022 12:44:59,121  INFO StartLogger - Setup property policy
03 нояб. 2022 12:44:59,121  INFO StartLogger - Setup drill-down
03 нояб. 2022 12:44:59,121  INFO StartLogger - Finalizing navigator elements
03 нояб. 2022 12:44:59,121  INFO StartLogger - Initializing indices
03 нояб. 2022 12:44:59,288  INFO StartLogger - Initializing reflection events
03 нояб. 2022 12:44:59,288  INFO StartLogger - Setup action policy
03 нояб. 2022 12:44:59,288  INFO StartLogger - Showing dependencies
03 нояб. 2022 12:45:00,843  INFO StartLogger - Setting user logging for properties
03 нояб. 2022 12:45:00,868  INFO StartLogger - Setting user not null constraints for properties
03 нояб. 2022 12:45:00,883  INFO StartLogger - Reading property links
03 нояб. 2022 12:45:00,883  INFO StartLogger - Setup loggables
03 нояб. 2022 12:45:00,883  INFO StartLogger - Initializing class data indexes
03 нояб. 2022 12:45:00,911  INFO StartLogger - Finalizing properties
03 нояб. 2022 12:45:01,871  INFO StartLogger - Building property list
03 нояб. 2022 12:45:02,068  INFO StartLogger - Initializing class dialog forms
03 нояб. 2022 12:45:02,313  INFO StartLogger - Finalizing forms
03 нояб. 2022 12:45:02,613  INFO StartLogger - Initializing actions' debugger
03 нояб. 2022 12:45:02,613  INFO StartLogger - Synchronizing DB
03 нояб. 2022 12:45:02,671  INFO StartLogger - Module Main has been dropped
03 нояб. 2022 12:45:02,685  INFO StartLogger - Checking indices
03 нояб. 2022 12:45:02,685  INFO StartLogger - Applying migration script (0.0 -> 0.0)
03 нояб. 2022 12:45:02,748  INFO StartLogger - Creating tables
03 нояб. 2022 12:45:02,816  INFO StartLogger - Prepare changing type of property column Authentication_login_CustomUser in table Authentication_customUser from BPSTRING[100] 'String (bp)' to ISTRING[100] 'String (Insensitive)'
03 нояб. 2022 12:45:02,818  INFO StartLogger - Prepare changing type of property column Email_id_Email in table Email_email from STRING[200] 'String' to STRING 'String'
03 нояб. 2022 12:45:02,818  INFO StartLogger - Prepare changing type of property column Scheduler_name_UserScheduledTask in table Scheduler_scheduledTask from STRING[100] 'String' to ISTRING[100] 'String (Insensitive)'
03 нояб. 2022 12:45:02,820  INFO StartLogger - Prepare changing type of property column SystemEvents_revision_Launch in table SystemEvents_launch from STRING[10] 'String' to STRING 'String'
03 нояб. 2022 12:45:02,821  INFO StartLogger - Prepare changing type of property column Chat_text_Message in table Chat_message from TEXT 'Text' to RICHTEXT 'Text rich'
03 нояб. 2022 12:45:02,823  INFO StartLogger - Deleting column Service_explainAllocationEnabled_User (renaming to _DELETED_Service_explainAllocationEnabled_User)  in table Authentication_user
03 нояб. 2022 12:45:02,823  INFO StartLogger - Deleting column Word_isTable_TemplateEntry (renaming to _DELETED_Word_isTable_TemplateEntry)  in table Word_templateEntry
03 нояб. 2022 12:45:02,823  INFO StartLogger - Prepare changing type of property column Scheduler_property_ScheduledTaskLog in table Scheduler_scheduledTaskLog from STRING[200] 'String' to ISTRING[200] 'String (Insensitive)'
03 нояб. 2022 12:45:02,823  INFO StartLogger - Deleting column Backup_inCustomRestore_TableColumn (renaming to _DELETED_Backup_inCustomRestore_TableColumn)  in table Reflection_tableColumn
03 нояб. 2022 12:45:02,823  INFO StartLogger - Deleting column Word_isTableMigrated (renaming to _DELETED_Word_isTableMigrated)  in table _auto
03 нояб. 2022 12:45:02,823  INFO StartLogger - Deleting column Backup_inCustomRestore_Table (renaming to _DELETED_Backup_inCustomRestore_Table)  in table Reflection_tables
03 нояб. 2022 12:45:02,833  INFO StartLogger - Deleting column Service_platformVersion (renaming to _DELETED_Service_platformVersion)  in table _auto
03 нояб. 2022 12:45:02,833  INFO StartLogger - Deleting column Service_apiVersion (renaming to _DELETED_Service_apiVersion)  in table _auto
03 нояб. 2022 12:45:02,833  INFO StartLogger - Prepare changing type of property column Email_message_Email in table Email_email from TEXT 'Text' to HTMLTEXT 'Text html'
03 нояб. 2022 12:45:02,833  INFO StartLogger - Deleting column Authentication_minHashLength (renaming to _DELETED_Authentication_minHashLength)  in table _auto
03 нояб. 2022 12:45:02,833  INFO StartLogger - Deleting column Backup_replaceOnlyNull_TableColumn (renaming to _DELETED_Backup_replaceOnlyNull_TableColumn)  in table Reflection_tableColumn
03 нояб. 2022 12:45:02,833  INFO StartLogger - Deleting column Backup_restoreObjects_Table (renaming to _DELETED_Backup_restoreObjects_Table)  in table Reflection_tables
03 нояб. 2022 12:45:02,833  INFO StartLogger - Prepare changing type of property column Scheduler_result_ScheduledTaskLog in table Scheduler_scheduledTaskLog from STRING[200] 'String' to ISTRING[200] 'String (Insensitive)'
03 нояб. 2022 12:45:02,833  INFO StartLogger - Changing type of property columns (2) in table Email_email started
03 нояб. 2022 12:45:02,833  INFO StartLogger - Changing type of property columns (2) in table Email_email finished
03 нояб. 2022 12:45:02,833  INFO StartLogger - Changing type of property columns (1) in table Authentication_customUser started
03 нояб. 2022 12:45:02,855  INFO StartLogger - Changing type of property columns (1) in table Authentication_customUser finished
03 нояб. 2022 12:45:02,855  INFO StartLogger - Changing type of property columns (1) in table Scheduler_scheduledTask started
03 нояб. 2022 12:45:02,855  INFO StartLogger - Changing type of property columns (1) in table Scheduler_scheduledTask finished
03 нояб. 2022 12:45:02,855  INFO StartLogger - Changing type of property columns (1) in table SystemEvents_launch started
03 нояб. 2022 12:45:02,862  INFO StartLogger - Changing type of property columns (1) in table SystemEvents_launch finished
03 нояб. 2022 12:45:02,862  INFO StartLogger - Changing type of property columns (2) in table Scheduler_scheduledTaskLog started
03 нояб. 2022 12:45:02,862  INFO StartLogger - Changing type of property columns (2) in table Scheduler_scheduledTaskLog finished
03 нояб. 2022 12:45:02,862  INFO StartLogger - Changing type of property columns (1) in table Chat_message started
03 нояб. 2022 12:45:02,862  INFO StartLogger - Changing type of property columns (1) in table Chat_message finished
03 нояб. 2022 12:45:02,887  INFO StartLogger - Packing tables
03 нояб. 2022 12:45:02,887  INFO StartLogger - Adding indices
03 нояб. 2022 12:45:02,887  INFO StartLogger - Adding index started: Chat_chat_Message_idx_Chat_message
03 нояб. 2022 12:45:02,894  INFO StartLogger - Adding index: Chat_chat_Message_idx_Chat_message, 7ms
03 нояб. 2022 12:45:02,894  INFO StartLogger - Filling static objects ids
03 нояб. 2022 12:45:03,201  INFO StartLogger - Updating stats
03 нояб. 2022 12:45:03,234  INFO StartLogger - Writing static objects changes
03 нояб. 2022 12:45:03,256  INFO StartLogger - adding static object with id 1572, sid Time_DateTimeIntervalPickerRanges and name Predefined interval dates
03 нояб. 2022 12:45:03,272  INFO StartLogger - adding static object with id 1573, sid System_ScriptType and name ScriptType
03 нояб. 2022 12:45:03,313  INFO StartLogger - adding static object with id 1574, sid Messenger_Message and name Messages
03 нояб. 2022 12:45:03,364  INFO StartLogger - adding static object with id 1575, sid Slack_User and name User
03 нояб. 2022 12:45:03,367  INFO StartLogger - adding static object with id 1576, sid Time_DateTimePickerRanges and name Predefined dates
03 нояб. 2022 12:45:03,382  INFO StartLogger - adding static object with id 1577, sid Email_ReceiveAccountType.IMAPS and name IMAPS
03 нояб. 2022 12:45:03,385  INFO StartLogger - adding static object with id 1578, sid System_ScriptType.form and name Form
03 нояб. 2022 12:45:03,429  INFO StartLogger - adding static object with id 1579, sid System_ScriptType.script and name Script
03 нояб. 2022 12:45:03,457  INFO StartLogger - adding static object with id 1580, sid System_ScriptType.java and name Java-code
03 нояб. 2022 12:45:03,477  INFO StartLogger - adding static object with id 1581, sid System_ScriptType.action and name Action
03 нояб. 2022 12:45:03,498  INFO StartLogger - adding static object with id 1582, sid Time_DateTimePickerRanges.rangePreviousMonthEnd and name End of the previous month
03 нояб. 2022 12:45:03,513  INFO StartLogger - adding static object with id 1583, sid Time_DateTimePickerRanges.rangeMonthEnd and name End of the month
03 нояб. 2022 12:45:03,546  INFO StartLogger - adding static object with id 1584, sid Time_DateTimePickerRanges.rangeThirtyDaysAgo and name Thirty days ago
03 нояб. 2022 12:45:03,588  INFO StartLogger - adding static object with id 1585, sid Time_DateTimePickerRanges.rangeThisYearEnd and name End of the year
03 нояб. 2022 12:45:03,605  INFO StartLogger - adding static object with id 1586, sid Time_DateTimePickerRanges.rangePreviousMonthStart and name Start of the previous month
03 нояб. 2022 12:45:03,616  INFO StartLogger - adding static object with id 1587, sid Time_DateTimePickerRanges.rangeToday and name Today
03 нояб. 2022 12:45:03,617  INFO StartLogger - adding static object with id 1588, sid Time_DateTimePickerRanges.rangeYesterday and name Yesterday
03 нояб. 2022 12:45:03,632  INFO StartLogger - adding static object with id 1589, sid Time_DateTimePickerRanges.rangeSevenDaysAgo and name Seven days ago
03 нояб. 2022 12:45:03,645  INFO StartLogger - adding static object with id 1590, sid Time_DateTimePickerRanges.rangeMonthStart and name Start of the month
03 нояб. 2022 12:45:03,645  INFO StartLogger - adding static object with id 1591, sid Time_DateTimePickerRanges.rangeThisYearStart and name Start of the year
03 нояб. 2022 12:45:03,661  INFO StartLogger - adding static object with id 1592, sid Time_DateTimeIntervalPickerRanges.rangeToMonthEnd and name To the end of the month
03 нояб. 2022 12:45:03,674  INFO StartLogger - adding static object with id 1593, sid Time_DateTimeIntervalPickerRanges.rangeIntervalYesterday and name Yesterday
03 нояб. 2022 12:45:03,726  INFO StartLogger - adding static object with id 1594, sid Time_DateTimeIntervalPickerRanges.rangeIntervalToday and name Today
03 нояб. 2022 12:45:03,771  INFO StartLogger - adding static object with id 1595, sid Time_DateTimeIntervalPickerRanges.rangeMonthStartToCurrentDate and name From the beginning of the month to today
03 нояб. 2022 12:45:03,791  INFO StartLogger - adding static object with id 1596, sid Time_DateTimeIntervalPickerRanges.rangeLast7Days and name Last seven days
03 нояб. 2022 12:45:03,806  INFO StartLogger - adding static object with id 1597, sid Time_DateTimeIntervalPickerRanges.rangeThisMonth and name This month
03 нояб. 2022 12:45:03,815  INFO StartLogger - adding static object with id 1598, sid Time_DateTimeIntervalPickerRanges.rangeLast30Days and name Last thirty days
03 нояб. 2022 12:45:03,831  INFO StartLogger - adding static object with id 1599, sid Time_DateTimeIntervalPickerRanges.rangePreviousMonth and name Previous month
03 нояб. 2022 12:45:03,878  INFO StartLogger - adding static object with id 1600, sid Time_DateTimeIntervalPickerRanges.rangeThisYear and name This year
03 нояб. 2022 12:45:03,906  INFO StartLogger - adding static object with id 1601, sid Time_DateTimeIntervalPickerRanges.rangeToYearEnd and name To the end of the year
03 нояб. 2022 12:45:03,918  INFO StartLogger - adding static object with id 1602, sid SystemEvents_ConnectionStatus.disconnectingConnection and name Disconnecting
03 нояб. 2022 12:45:04,326  INFO StartLogger - Migrating reflection properties and actions
03 нояб. 2022 12:45:04,366  INFO StartLogger - Recalculating aggregations
03 нояб. 2022 12:45:04,382  INFO StartLogger - Recalculate Aggregation started: Chat.isDialog[Chat.Chat]
03 нояб. 2022 12:45:04,418  INFO StartLogger - Recalculate Aggregation: Chat.isDialog[Chat.Chat], 25ms
03 нояб. 2022 12:45:04,418  INFO StartLogger - Update Aggregation Stats started: _auto_Slack_User
03 нояб. 2022 12:45:05,388  INFO StartLogger - Update Aggregation Stats: _auto_Slack_User, 970ms
03 нояб. 2022 12:45:05,389  INFO StartLogger - Update Aggregation Stats started: Authentication_customUser
03 нояб. 2022 12:45:05,601  INFO StartLogger - Update Aggregation Stats: Authentication_customUser, 212ms
03 нояб. 2022 12:45:05,601  INFO StartLogger - Update Aggregation Stats started: _auto_Geo_MapProvider
03 нояб. 2022 12:45:05,677  INFO StartLogger - Update Aggregation Stats: _auto_Geo_MapProvider, 76ms
03 нояб. 2022 12:45:05,677  INFO StartLogger - Update Aggregation Stats started: _auto_System_ScriptType
03 нояб. 2022 12:45:05,817  INFO StartLogger - Update Aggregation Stats: _auto_System_ScriptType, 140ms
03 нояб. 2022 12:45:05,817  INFO StartLogger - Update Aggregation Stats started: SystemEvents_connection
03 нояб. 2022 12:45:06,309  INFO StartLogger - Update Aggregation Stats: SystemEvents_connection, 492ms
03 нояб. 2022 12:45:06,309  INFO StartLogger - Update Aggregation Stats started: _auto_Authentication_CustomUser_Time_DateTimePickerRanges
03 нояб. 2022 12:45:06,395  INFO StartLogger - Update Aggregation Stats: _auto_Authentication_CustomUser_Time_DateTimePickerRanges, 86ms
03 нояб. 2022 12:45:06,395  INFO StartLogger - Update Aggregation Stats started: _auto
03 нояб. 2022 12:45:07,717  INFO StartLogger - Update Aggregation Stats: _auto, 1322ms
